Nome,CPF,Dados Bancários
Danilo Alves,986.301.413-36,Santander / Ag: 1399 / Conta: 636502-1
Lucas Gabriel Moraes,696.934.623-43,Santander / Ag: 5946 / Conta: 421450-7
Ana Carolina Guerra,830.339.405-36,Bradesco / Ag: 5314 / Conta: 254050-9
Enzo Correia,484.188.367-33,Itaú / Ag: 1596 / Conta: 218596-8
Maria Julia Rocha,330.935.935-22,Caixa / Ag: 5973 / Conta: 511727-4
Leandro Sampaio,930.828.354-49,Banco do Brasil / Ag: 3071 / Conta: 319129-6
Sra. Eloah Peixoto,281.708.955-37,Santander / Ag: 5721 / Conta: 949109-0
Caio Monteiro,093.407.472-08,Itaú / Ag: 9799 / Conta: 673871-3
Srta. Marina Barbosa,814.750.359-85,Caixa / Ag: 1662 / Conta: 444729-1
Luan Vasconcelos,698.860.988-13,Caixa / Ag: 7341 / Conta: 343217-2
